Sample Name,Sample Type,Component Name,IS Name,Actual Conc (ng/mL),Area,IS Area,Area Ratio,Calculated Conc (ng/mL),weight (mg),content (ng/mg)
std-1,Standard,ergo,ergo-d9,1,6.75E+04,7.51E+05,8.99E-02,1.04,,
std-2,Standard,ergo,ergo-d9,2.5,1.49E+05,6.71E+05,2.22E-01,2.80,,
std-3,Standard,ergo,ergo-d9,5,3.03E+05,6.33E+05,4.79E-01,6.25,,
std-4,Standard,ergo,ergo-d9,10,6.94E+05,6.05E+05,1.15E+00,15.22,,
std-5,Standard,ergo,ergo-d9,25,1.16E+06,5.46E+05,2.12E+00,28.29,,
std-6,Standard,ergo,ergo-d9,50,2.63E+06,5.46E+05,4.81E+00,64.33,,
std-7,Standard,ergo,ergo-d9,100,5.03E+06,5.42E+05,9.27E+00,124.10,,
std-8,Standard,ergo,ergo-d9,250,6.94E+06,3.07E+05,2.26E+01,303.00,,
std-9,Standard,ergo,ergo-d9,500,1.15E+07,2.97E+05,3.87E+01,518.60,,
std-10,Standard,ergo,ergo-d9,1000,1.24E+07,1.76E+05,7.02E+01,940.60,,
G96,Unknown,ergo,ergo-d9,N/A,9.59E+05,1.88E+05,5.10E+00,68.22,25.60,5.33
G97,Unknown,ergo,ergo-d9,N/A,3.41E+05,1.04E+05,3.28E+00,43.79,26.60,3.29
G98,Unknown,ergo,ergo-d9,N/A,3.49E+05,1.30E+05,2.67E+00,35.66,27.90,2.56
G99,Unknown,ergo,ergo-d9,N/A,2.74E+05,1.01E+05,2.71E+00,36.16,26.90,2.69
G100,Unknown,ergo,ergo-d9,N/A,3.14E+05,8.95E+04,3.51E+00,46.89,25.70,3.65
G101,Unknown,ergo,ergo-d9,N/A,9.20E+05,1.37E+05,6.71E+00,89.82,25.70,6.99
G102,Unknown,ergo,ergo-d9,N/A,5.67E+05,1.61E+05,3.53E+00,47.11,28.30,3.33
G103,Unknown,ergo,ergo-d9,N/A,2.48E+05,1.33E+05,1.87E+00,24.90,26.00,1.92
G104,Unknown,ergo,ergo-d9,N/A,2.88E+05,1.59E+05,1.81E+00,24.10,25.60,1.88
G105,Unknown,ergo,ergo-d9,N/A,2.07E+05,1.18E+05,1.76E+00,23.39,25.80,1.81
G106,Unknown,ergo,ergo-d9,N/A,5.98E+05,1.37E+05,4.37E+00,58.46,27.70,4.22
G107,Unknown,ergo,ergo-d9,N/A,4.33E+05,6.03E+04,7.18E+00,96.10,29.60,6.49
G-108,Unknown,ergo,ergo-d9,N/A,1.38E+05,5.83E+04,2.37E+00,31.57,30.00,2.10
G-109,Unknown,ergo,ergo-d9,N/A,1.72E+05,7.04E+04,2.45E+00,32.66,28.50,2.29
G-110,Unknown,ergo,ergo-d9,N/A,1.25E+05,5.87E+04,2.13E+00,28.44,28.60,1.99
G-111,Unknown,ergo,ergo-d9,N/A,1.82E+05,6.65E+04,2.74E+00,36.50,27.60,2.64
G-112,Unknown,ergo,ergo-d9,N/A,1.38E+05,7.41E+04,1.86E+00,24.75,28.30,1.75
G-113,Unknown,ergo,ergo-d9,N/A,1.00E+05,6.98E+04,1.44E+00,19.12,27.10,1.41
G-114,Unknown,ergo,ergo-d9,N/A,1.48E+05,4.97E+04,2.97E+00,39.65,28.50,2.78
G-115,Unknown,ergo,ergo-d9,N/A,1.87E+05,5.60E+04,3.34E+00,44.58,29.10,3.06
G-116,Unknown,ergo,ergo-d9,N/A,2.49E+05,7.49E+04,3.32E+00,44.38,28.90,3.07
G-117,Unknown,ergo,ergo-d9,N/A,1.76E+05,7.42E+04,2.37E+00,31.56,26.80,2.36
G-118,Unknown,ergo,ergo-d9,N/A,2.33E+05,9.90E+04,2.35E+00,31.30,26.60,2.35
