Sample ,Plant #,Sample,Day,Sample ID,content (ng/mg),Notes,,,Root,,Average,,,,,,,SEM,,,,,,,,,,,,,,,,
G96,27,Grain,60,       +M +E,5.33,1-12 =day 40,,,,,Content,,ME,M,E,Control,,Content,,ME,M,E,Control,,,,,,,,,,,
G97,28,Grain,60,       +M +E,3.29,14-25 = day 50,,,,,,40,1.61,1.73,1.18,3.09,,,40,0.101695999,0.073535029,0.106742034,0.420294458,,,,,,,,,,,
G98,29,Grain,60,       +M +E,2.56,rest day 60,,,,,,50,2.20,1.88,4.10,2.76,,,50,0.109599371,0.11885652,0.379322035,0.277685174,,,,,,,,,,,
G99,30,Grain,60,       +M +E,2.69,,,,,,,60,4.78,1.32,6.44,1.58,,,60,0.457998254,0.108174194,0.620371794,0.050286181,,,,,,,,,,,
G100,31,Grain,60,       +M +E,3.65,5.33,3.29,2.56,2.69,3.65,6.99,3.33,1.92,1.88,1.81,4.22,6.49,,,,,,,,,,,,,,,,,
G101,32,Grain,60,       +M +E,6.99,,,,Shoot,,Average,,,,,,,SEM,,,,,,,,,,,,,,,,
G102,33,Grain,60,       +M +E,3.33,,,,,,Content,,ME,M,E,Control,,Content,,ME,M,E,Control,,,,,,,,,,,
G103,34,Grain,60,       +M +E,1.92,,,,,,,40,2.11,1.43,1.52,1.36,,,40,0.193725818,0.066727243,0.069035381,0.149588655,,,,,,,,,,,
G104,35,Grain,60,       +M +E,1.88,,,,,,,50,1.04,1.31,1.41,0.64,,,50,0.07429837,0.480602244,0.142004092,0.042549178,,,,,,,,,,,
G105,36,Grain,60,       +M +E,1.81,,,,,,,60,1.52,0.74,2.43,0.62,,,60,0.316062559,0.053890114,0.273612047,0.031354281,,,,,,,,,,,
G106,37,Grain,60,       +M +E,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* p> 0.1    ** p>0.05   ***p >0.01
G107,38,Grain,60,       +M +E,6.49,,,,Grain,,Average,,,,,,,SEM,,,,,,,,,,,,,,,,
G-108,27,Grain,60,       -M +E,2.10,,,,,,Content,,ME,M,E,Control,,Content,,ME,M,E,Control,,,,,,,,,,,
G-109,28,Grain,60,       -M +E,2.29,,,,,,,60,3.68,1.99,2.28,3.05,,,60,0.509251577,0.14951078,0.157005037,0.156938374,,,,,,,,,,,
G-110,29,Grain,60,       -M +E,1.99,,,ME,E,control,M,,,,,,,,,,,,,,,,,,,,,,,
G-111,30,Grain,60,       -M +E,2.64,,AVG,3.68,2.28,3.05,1.99,,,,,,,,,,,,,,,,,,,,,,,
G-112,31,Grain,60,       -M +E,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-113,32,Grain,60,       -M +E,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-114,33,Grain,60,       -M +E,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-115,34,Grain,60,       -M +E,3.06,2.10,2.29,1.99,2.64,1.75,1.41,2.78,3.06,3.07,2.36,2.35,1.60,,,,,,,,,,,,,,,,,
G-116,35,Grain,60,       -M +E,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-117,36,Grain,60,       -M +E,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-118,37,Grain,60,       -M +E,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-119,38,Grain,60,       -M +E,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-120,27,Grain,60,       -M -E,1.75,1.75,3.15,2.75,2.56,3.25,3.21,2.86,3.13,3.15,3.19,3.76,3.81,,,,,,,,,,,,,,,,,
G-121,28,Grain,60,       -M -E,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-122,29,Grain,60,       -M -E,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-123,30,Grain,60,       -M -E,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-124,31,Grain,60,       -M -E,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-125,32,Grain,60,       -M -E,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-126,33,Grain,60,       -M -E,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-127,34,Grain,60,       -M -E,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-128,35,Grain,60,       -M -E,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-129,36,Grain,60,       -M -E,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-130,37,Grain,60,       -M -E,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-131,38,Grain,60,       -M -E,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-132,27,Grain,60,       +M -E,0.80,0.80,1.67,1.97,2.10,1.95,2.26,2.01,2.45,2.09,1.82,2.77,,,,,,,,,,,,,,,,,,
G-133,28,Grain,60,       +M -E,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-134,29,Grain,60,       +M -E,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-135,30,Grain,60,       +M -E,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-136,31,Grain,60,       +M -E,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-137,32,Grain,60,       +M -E,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-138,33,Grain,60,       +M -E,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-140,35,Grain,60,       +M -E,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-141,36,Grain,60,       +M -E,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-142,37,Grain,60,       +M -E,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-143,38,Grain,60,       +M -E,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-1,1,Root,40,       +M +E,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-2,2,Root,40,       +M +E,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-3,3,Root,40,       +M +E,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R-4,4,Root,40,       +M +E,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
