Plant Group,Plant Number,Sampling Day ,Height (cm),Shoot weight (g),Root weight (g),Grain weight,Total biomass(g),chlorophyll content(fv/fm),Flowering?,R/S Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M+E,1,40,74.9,2.355,0.922,,3.277,0.80,Y,0.391507431,,,Average,,,,,,,SEM,,,,,,,,,,,,,,,,,,,,,,
+M+E,2,40,72.6,2.902,0.982,,3.884,0.82,Y,0.338387319,,,Height,,ME,M,E,Control,,Height,,ME,M,E,Control,,,,,,,,,,,,,,,,,
+M+E,3,40,61.4,1.87,0.542,,2.412,0.82,Y,0.289839572,,,,40,69.3,61.7,68.0,61.0,,,40,2.395424221,1.383457493,0.766559464,0.713334532,,,,,,,,,,,,,,,,,
+M+E,4,40,67.5,1.7,0.563,,2.263,0.81,Y,0.331176471,,,,50,69.9,65.10,69.46,64.4,,,50,1.681284026,2.71,0.71,1.203446727,,,,,,,,,,,,,,,,,
+M+E,5,40,64.3,2.914,0.691,,3.605,0.81,Y,0.237131091,,,,60,68.2,64.17857143,69.6,65.08333333,,,60,1.272567487,2.07788403,0.923103632,1.585723873,,,,,,,,,,,,,,,,,
+M+E,6,40,72.5,1.999,0.481,,2.48,0.81,Y,0.24062031,,,,Average,,,,,,,SEM,,,,,,,,,,,,,,,,,,,,,
+M+E,7,40,82.4,2.527,0.857,,3.384,0.81,Y,0.339137317,,,,Shoot Mass(g),,ME,M,E,Control,,Shoot Mass(g),,ME,M,E,Control,,,,,,,,,,,,,,,,
+M+E,8,40,64.1,2.998,0.663,,3.661,0.81,Y,0.221147432,,,,,40,2.2,1.1,2.9,1.0,,,40,0.17340432,0.029008071,0.199877177,0.059101031,,,,,,,,,,,,,,,,
+M+E,9,40,71.0,2.414,0.562,,2.976,0.82,Y,0.232808616,,,,,50,2.4,1.53,4.26,1.8,,,50,0.263521034,0.14,0.26,0.089349625,,,,,,,,,,,,,,,,
+M+E,10,40,72.0,1.454,0.407,,1.861,0.82,Y,0.279917469,,,,,60,1.7,1.664666667,3.6,2.238833333,,,60,0.157019847,0.175419209,0.123437742,0.19513169,,,,,,,,,,,,,,,,
+M+E,11,40,48.0,1.296,0.376,,1.672,0.80,Y,0.290123457,,,,,Average,,,,,,,SEM,,,,,,,,,,,,,,,,,,,,
+M+E,12,40,78.5,1.573,0.324,,1.897,0.81,Y,0.205975842,,,,,Root Mass(g),,ME,M,E,Control,,Root Mass(g),,ME,M,E,Control,,,,,,,,,,,,,,,
+M+E,13,40,71.5,,,,,0.81,Y,,,,,,,40,0.6,0.4,0.6,0.3,,,40,0.062123878,0.009777293,0.051937,0.026635149,,,,,,,,,,,,,,,
+M+E,14,50,67.6,1.52,0.314,,1.834,0.80,Y,0.206578947,,,,,,50,0.4,0.33,0.74,0.4,,,50,0.043499449,0.04,0.07,0.029269602,,,,,,,,,,,,,,,
+M+E,15,50,68.4,3.249,0.442,,3.691,0.82,Y,0.136041859,,,,,,60,0.4,0.426416667,0.9,0.5505,,,60,0.039662178,0.050243718,0.047566136,0.072145318,,,,,,,,,,,,,,,
+M+E,16,50,73.9,2.067,0.326,,2.393,0.80,Y,0.157716497,,,,,,Average,,,,,,,SEM,,,,,,,,,,,,,,,,,,,
+M+E,17,50,78.5,3.064,0.522,,3.586,0.78,Y,0.170365535,,,,,,Grain Mass(g),,ME,M,E,Control,,Grain Mass(g),,ME,M,E,Control,,,,,,,,,,,,,,
